english,category,arabic
Other liabilities,liabilities,مطلوبات أخرى
Other liabilities,liabilities,خصوم أخرى
Other liabilities,liabilities,التزامات أخرى
Other liabilities,liabilities,المطلوبات الأخرى
Liabilities held for sale,liabilities,المطلوبات المحتفظ بها للبيع
Liabilities held for sale,liabilities,الخصوم المحتفظ بها بغرض البيع
Total liabilities,liabilities,إجمالي المطلوبات
Total liabilities,liabilities,مجموع المطلوبات
Total liabilities,liabilities,إجمالي الخصوم
Total liabilities,liabilities,مجموع الالتزامات
Current liabilities,liabilities,المطلوبات المتداولة
Current liabilities,liabilities,الخصوم المتداولة
Current liabilities,liabilities,الالتزامات المتداولة
Non-current liabilities,liabilities,المطلوبات غير المتداولة
Non-current liabilities,liabilities,الخصوم غير المتداولة
Total current liabilities,liabilities,إجمالي المطلوبات المتداولة
Total current liabilities,liabilities,مجموع الالتزامات المتداولة
Margin accounts,liabilities,حسابات الهامش
Margin accounts,liabilities,حسابات التأمينات النقدية
Cash margins,liabilities,التأمينات النقدية
Cash margins,liabilities,الهوامش النقدية
Acceptances,liabilities,القبولات
Acceptances,liabilities,القبولات المصرفية
Bank acceptances,liabilities,القبولات المصرفية
Bank acceptances,liabilities,قبولات مصرفية
Sukuk issued,liabilities,الصكوك المصدرة
Sukuk issued,liabilities,صكوك مصدرة
Bonds issued,liabilities,السندات المصدرة
Bonds issued,liabilities,سندات مصدرة
Dividends payable,liabilities,توزيعات الأرباح المستحقة الدفع
Dividends payable,liabilities,الأرباح الموزعة المستحقة
Due to related parties,liabilities,المستحق للأطراف ذات العلاقة
Due to related parties,liabilities,أرصدة دائنة لأطراف ذات علاقة
Accrued expenses,liabilities,المصاريف المستحقة
Accrued expenses,liabilities,المصروفات المستحقة
Accrued expenses,liabilities,مصاريف مستحقة
Deferred income,liabilities,الإيرادات المؤجلة
Deferred income,liabilities,الدخل المؤجل
Deferred income,liabilities,إيرادات مؤجلة
Contract liabilities,liabilities,التزامات العقود
Contract liabilities,liabilities,مطلوبات العقود
Zakat payable,liabilities,الزكاة المستحقة
Zakat payable,liabilities,مخصص الزكاة
Zakat payable,liabilities,الزكاة المستحقة الدفع
Income tax payable,liabilities,ضريبة الدخل المستحقة
Income tax payable,liabilities,مخصص ضريبة الدخل
Retentions payable,liabilities,المحتجزات الدائنة
Retentions payable,liabilities,الدفعات المحتجزة
Bank overdrafts,liabilities,السحب على المكشوف
Bank overdrafts,liabilities,الجاري مدين بنكي
Bank overdrafts,liabilities,السحوبات على المكشوف
Short-term borrowings,liabilities,القروض قصيرة الأجل
Short-term borrowings,liabilities,الاقتراض قصير الأجل
Long-term borrowings,liabilities,القروض طويلة الأجل
Long-term borrowings,liabilities,الاقتراض طويل الأجل
Term loans,liabilities,القروض لأجل
Term loans,liabilities,قروض لأجل
Employees' end of service benefits,liabilities,مكافأة نهاية الخدمة للموظفين
Employees' end of service benefits,liabilities,مخصص مكافأة نهاية خدمة الموظفين
Employees' end of service benefits,liabilities,التزامات نهاية خدمة الموظفين
Defined benefit obligations,liabilities,التزامات المنافع المحددة
Defined benefit obligations,liabilities,التزامات المزايا المحددة
Equity,equity,حقوق الملكية
Equity,equity,حقوق المساهمين
Equity,equity,الملكية
Share capital,equity,رأس المال
Share capital,equity,رأس مال الأسهم
Share capital,equity,رأس المال المصدر
Share premium,equity,علاوة إصدار الأسهم
Share premium,equity,علاوة الإصدار
Share premium,equity,علاوة إصدار
Share capital and share premium,equity,رأس المال وعلاوة الإصدار
Statutory reserve,equity,الاحتياطي النظامي
Statutory reserve,equity,الاحتياطي القانوني
General reserve,equity,الاحتياطي العام
General reserve,equity,احتياطي عام
Legal reserve,equity,الاحتياطي القانوني
Other reserves,equity,احتياطيات أخرى
Other reserves,equity,الاحتياطيات الأخرى
Reserves,equity,الاحتياطيات
Reserves,equity,احتياطيات
Retained earnings,equity,الأرباح المبقاة
Retained earnings,equity,الأرباح المحتجزة
Retained earnings,equity,الأرباح المرحّلة
Retained earnings,equity,الارباح المبقاه
Accumulated losses,equity,الخسائر المتراكمة
Accumulated losses,equity,الخسائر المرحلة
Treasury shares,equity,أسهم الخزينة
Treasury shares,equity,أسهم الخزانة
Fair value reserve,equity,احتياطي القيمة العادلة
Fair value reserve,equity,احتياطي التغير في القيمة العادلة
Foreign currency translation reserve,equity,احتياطي تحويل العملات الأجنبية
Foreign currency translation reserve,equity,احتياطي فروق الترجمة
Hedging reserve,equity,احتياطي التحوط
Hedging reserve,equity,احتياطي تحوط التدفقات النقدية
Proposed dividends,equity,توزيعات الأرباح المقترحة
Proposed dividends,equity,الأرباح المقترح توزيعها
Proposed dividends,equity,توزيعات مقترحة
Dividends paid,equity,توزيعات الأرباح المدفوعة
Dividends paid,equity,الأرباح الموزعة المدفوعة
Dividends,equity,توزيعات الأرباح
Dividends,equity,الأرباح الموزعة
Dividends,equity,التوزيعات
Total shareholders' equity,equity,إجمالي حقوق المساهمين
Total shareholders' equity,equity,مجموع حقوق المساهمين
Total shareholders' equity,equity,إجمالي حقوق الملكية
Total parent company shareholders' equity,equity,إجمالي حقوق مساهمي الشركة الأم
Additional Tier 1 capital instruments,equity,أدوات رأس المال الإضافي من الشريحة الأولى
Additional Tier 1 capital instruments,equity,أدوات الشريحة الأولى الإضافية
Other equity instruments,equity,أدوات حقوق ملكية أخرى
Other equity instruments,equity,أدوات الملكية الأخرى
Total equity,equity,إجمالي حقوق الملكية
Total equity,equity,مجموع حقوق الملكية
Total equity,equity,إجمالي حقوق المساهمين
Total equity and liabilities,equity,إجمالي حقوق الملكية والمطلوبات
Total equity and liabilities,equity,مجموع حقوق الملكية والالتزامات
Total equity and liabilities,equity,إجمالي الخصوم وحقوق الملكية
Authorised capital,equity,رأس المال المصرح به
Authorised capital,equity,رأس المال المرخص به
Issued and paid-up capital,equity,رأس المال المصدر والمدفوع
Issued and paid-up capital,equity,رأس المال المصدر والمدفوع بالكامل
Paid-up capital,equity,رأس المال المدفوع
Paid-up capital,equity,رأس المال المدفوع بالكامل
Share-based payment reserve,equity,احتياطي المدفوعات على أساس الأسهم
Share-based payment reserve,equity,احتياطي برنامج أسهم الموظفين
Capital reserve,equity,الاحتياطي الرأسمالي
Capital reserve,equity,احتياطي رأسمالي
Capital redemption reserve,equity,احتياطي استرداد رأس المال
Capital redemption reserve,equity,احتياطي إطفاء رأس المال
Merger reserve,equity,احتياطي الاندماج
Merger reserve,equity,احتياطي الدمج
Revaluation reserve,equity,احتياطي إعادة التقييم
Revaluation reserve,equity,احتياطي إعادة تقييم الممتلكات
Retained earnings brought forward,equity,الأرباح المبقاة المرحلة
Retained earnings brought forward,equity,أرباح مبقاة من سنوات سابقة
Proposed cash dividends,equity,توزيعات الأرباح النقدية المقترحة
Proposed cash dividends,equity,الأرباح النقدية المقترح توزيعها
Proposed bonus shares,equity,أسهم المنحة المقترحة
Proposed bonus shares,equity,الأسهم المجانية المقترحة
Tier 1 Sukuk,equity,صكوك الشريحة الأولى
Tier 1 Sukuk,equity,صكوك رأس المال من الشريحة الأولى
Perpetual instruments,equity,الأدوات الدائمة
Perpetual instruments,equity,أدوات دائمة
Equity attributable to owners of the parent,equity,حقوق الملكية العائدة لمالكي الشركة الأم
Equity attributable to owners of the parent,equity,حقوق المساهمين العائدة لمالكي الشركة الأم
Total equity attributable to shareholders,equity,إجمالي حقوق الملكية العائدة للمساهمين
Total equity attributable to shareholders,equity,مجموع حقوق المساهمين العائدة للمساهمين
Cash flows from operating activities,cash_flow,التدفقات النقدية من الأنشطة التشغيلية
Cash flows from operating activities,cash_flow,التدفقات النقدية من العمليات التشغيلية
Cash flows from investing activities,cash_flow,التدفقات النقدية من الأنشطة الاستثمارية
Cash flows from investing activities,cash_flow,التدفقات النقدية من العمليات الاستثمارية
Cash flows from financing activities,cash_flow,التدفقات النقدية من الأنشطة التمويلية
Cash flows from financing activities,cash_flow,التدفقات النقدية من العمليات التمويلية
Net cash from operating activities,cash_flow,صافي النقد من الأنشطة التشغيلية
Net cash from operating activities,cash_flow,صافي التدفقات النقدية من الأنشطة التشغيلية
Net cash used in investing activities,cash_flow,صافي النقد المستخدم في الأنشطة الاستثمارية
Net cash used in investing activities,cash_flow,صافي النقد المستخدم في العمليات الاستثمارية
Net cash from financing activities,cash_flow,صافي النقد من الأنشطة التمويلية
Net cash from financing activities,cash_flow,صافي التدفقات النقدية من الأنشطة التمويلية
Net increase in cash and cash equivalents,cash_flow,صافي الزيادة في النقد وما في حكمه
Net increase in cash and cash equivalents,cash_flow,صافي الزيادة في النقدية وما يعادلها
Net decrease in cash and cash equivalents,cash_flow,صافي النقص في النقد وما في حكمه
Net decrease in cash and cash equivalents,cash_flow,صافي النقص في النقدية وما يعادلها
Cash and cash equivalents at beginning of year,cash_flow,النقد وما في حكمه في بداية السنة
Cash and cash equivalents at beginning of year,cash_flow,النقدية وما يعادلها في بداية السنة
Cash and cash equivalents at end of year,cash_flow,النقد وما في حكمه في نهاية السنة
Cash and cash equivalents at end of year,cash_flow,النقدية وما يعادلها في نهاية السنة
Depreciation,cash_flow,الاستهلاك
Depreciation,cash_flow,الإهلاك
Amortisation,cash_flow,الإطفاء
Amortisation,cash_flow,الاطفاء
Purchase of property and equipment,cash_flow,شراء الممتلكات والمعدات
Purchase of property and equipment,cash_flow,شراء ممتلكات ومعدات
Proceeds from sale of investments,cash_flow,المتحصلات من بيع الاستثمارات
Proceeds from sale of investments,cash_flow,متحصلات بيع الاستثمارات
Adjustments for non-cash items,cash_flow,تسويات البنود غير النقدية
Adjustments for non-cash items,cash_flow,تعديلات للبنود غير النقدية
Changes in operating assets and liabilities,cash_flow,التغيرات في الأصول والمطلوبات التشغيلية
Changes in operating assets and liabilities,cash_flow,التغيرات في الموجودات والمطلوبات التشغيلية
Zakat paid,cash_flow,الزكاة المدفوعة
Zakat paid,cash_flow,زكاة مدفوعة
Income tax paid,cash_flow,ضريبة الدخل المدفوعة
Income tax paid,cash_flow,الضريبة المدفوعة
Interest received,cash_flow,الفوائد المستلمة
Interest received,cash_flow,الفوائد المقبوضة
Interest paid,cash_flow,الفوائد المدفوعة
Interest paid,cash_flow,الفوائد المسددة
Dividends received,cash_flow,توزيعات الأرباح المستلمة
Dividends received,cash_flow,الأرباح الموزعة المقبوضة
Dividends paid,cash_flow,توزيعات الأرباح المدفوعة
Dividends paid,cash_flow,الأرباح الموزعة المدفوعة
Proceeds from borrowings,cash_flow,المتحصلات من القروض
Proceeds from borrowings,cash_flow,متحصلات الاقتراض
Repayment of borrowings,cash_flow,سداد القروض
Repayment of borrowings,cash_flow,تسديد القروض
Repayment of lease liabilities,cash_flow,سداد التزامات الإيجار
Repayment of lease liabilities,cash_flow,سداد مطلوبات عقود الإيجار
Proceeds from issue of shares,cash_flow,المتحصلات من إصدار الأسهم
Proceeds from issue of shares,cash_flow,متحصلات إصدار أسهم
Purchase of investments,cash_flow,شراء الاستثمارات
Purchase of investments,cash_flow,شراء استثمارات
Additions to property and equipment,cash_flow,الإضافات على الممتلكات والمعدات
Additions to property and equipment,cash_flow,إضافات ممتلكات ومعدات
Net movement in loans and advances,cash_flow,صافي الحركة في القروض والسلف
Net movement in loans and advances,cash_flow,صافي التغير في القروض والسلف
Net movement in customer deposits,cash_flow,صافي الحركة في ودائع العملاء
Net movement in customer deposits,cash_flow,صافي التغير في ودائع العملاء
Effect of exchange rate changes on cash,cash_flow,أثر تغيرات أسعار الصرف على النقد
Effect of exchange rate changes on cash,cash_flow,تأثير تغير أسعار الصرف على النقدية
Return on tangible equity,ratios,العائد على حقوق الملكية الملموسة
Return on tangible equity,ratios,العائد على حقوق المساهمين الملموسة
Return on equity,ratios,العائد على حقوق الملكية
Return on equity,ratios,العائد على حقوق المساهمين
Return on assets,ratios,العائد على الأصول
Return on assets,ratios,العائد على الموجودات
Cost-to-income ratio,ratios,نسبة التكلفة إلى الدخل
Cost-to-income ratio,ratios,نسبة المصروفات إلى الإيرادات
Net interest margin,ratios,صافي هامش الفائدة
Net interest margin,ratios,هامش صافي الفائدة
Common Equity Tier 1 ratio,ratios,نسبة رأس المال الأساسي من الشريحة الأولى
Common Equity Tier 1 ratio,ratios,نسبة الشريحة الأولى للأسهم العادية
Tier 1 capital ratio,ratios,نسبة رأس المال من الشريحة الأولى
Total capital ratio,ratios,نسبة إجمالي رأس المال
Total capital ratio,ratios,نسبة كفاية رأس المال الإجمالية
Capital adequacy ratio,ratios,نسبة كفاية رأس المال
Capital adequacy ratio,ratios,معدل كفاية رأس المال
Liquidity coverage ratio,ratios,نسبة تغطية السيولة
Liquidity coverage ratio,ratios,معدل تغطية السيولة
Advances-to-deposits ratio,ratios,نسبة القروض إلى الودائع
Advances-to-deposits ratio,ratios,نسبة التسهيلات إلى الودائع
Risk-weighted assets,ratios,الأصول المرجحة بالمخاطر
Risk-weighted assets,ratios,الموجودات المرجحة بالمخاطر
Net asset value per share,ratios,صافي قيمة الأصول للسهم
Net asset value per share,ratios,صافي قيمة الموجودات للسهم
Tangible net asset value per share,ratios,صافي قيمة الأصول الملموسة للسهم
Dividend per share,ratios,توزيعات الأرباح للسهم
Dividend per share,ratios,الربح الموزع للسهم
Cost of risk,ratios,تكلفة المخاطر
Cost of risk,ratios,معدل تكلفة المخاطر
Loan loss rate,ratios,معدل خسائر القروض
Loan loss rate,ratios,نسبة خسائر القروض
Corporate and Investment Banking,segments,الخدمات المصرفية للشركات والاستثمار
Corporate and Investment Banking,segments,المصرفية للشركات والاستثمار
Wealth and Retail Banking,segments,الخدمات المصرفية للأفراد والثروات
Wealth and Retail Banking,segments,المصرفية للأفراد وإدارة الثروات
Retail banking,segments,الخدمات المصرفية للأفراد
Retail banking,segments,التجزئة المصرفية
Retail banking,segments,المصرفية للأفراد
Corporate banking,segments,الخدمات المصرفية للشركات
Corporate banking,segments,المصرفية للشركات
Treasury,segments,الخزينة
Treasury,segments,الخزانة
Investment banking,segments,الخدمات المصرفية الاستثمارية
Investment banking,segments,المصرفية الاستثمارية
Asset management,segments,إدارة الأصول
Asset management,segments,إدارة الموجودات
Insurance,segments,التأمين
Insurance,segments,قطاع التأمين
Head office,segments,المركز الرئيسي
Head office,segments,الإدارة العامة
Others,segments,أخرى
Others,segments,بنود أخرى
Domestic,segments,محلي
Domestic,segments,المحلي
International,segments,دولي
International,segments,الدولي
International,segments,خارجي
Wholesale banking,segments,الخدمات المصرفية للمؤسسات
Wholesale banking,segments,المصرفية للمؤسسات
Wholesale banking,segments,الخدمات المصرفية بالجملة
Private banking,segments,الخدمات المصرفية الخاصة
Private banking,segments,المصرفية الخاصة
Wealth management,segments,إدارة الثروات
Wealth management,segments,إدارة الثروة
Brokerage,segments,الوساطة
Brokerage,segments,خدمات الوساطة المالية
Brokerage,segments,الوساطة المالية
Real estate,segments,العقارات
Real estate,segments,القطاع العقاري
Manufacturing,segments,الصناعة
Manufacturing,segments,التصنيع
Manufacturing,segments,القطاع الصناعي
Trading,segments,التجارة
Trading,segments,المتاجرة
Trading,segments,القطاع التجاري
Construction,segments,الإنشاءات
Construction,segments,المقاولات
Construction,segments,قطاع الإنشاءات
Services,segments,الخدمات
Services,segments,قطاع الخدمات
Government,segments,الحكومة
Government,segments,القطاع الحكومي
Government,segments,الجهات الحكومية
Individuals,segments,الأفراد
Individuals,segments,قطاع الأفراد
Small and medium enterprises,segments,المنشآت الصغيرة والمتوسطة
Small and medium enterprises,segments,الشركات الصغيرة والمتوسطة
Saudi Arabia,segments,المملكة العربية السعودية
Saudi Arabia,segments,السعودية
United Arab Emirates,segments,الإمارات العربية المتحدة
United Arab Emirates,segments,الإمارات
United Arab Emirates,segments,دولة الإمارات
Kuwait,segments,الكويت
Kuwait,segments,دولة الكويت
Qatar,segments,قطر
Qatar,segments,دولة قطر
Bahrain,segments,البحرين
Bahrain,segments,مملكة البحرين
Oman,segments,عمان
Oman,segments,سلطنة عمان
Egypt,segments,مصر
Egypt,segments,جمهورية مصر العربية
Jordan,segments,الأردن
Jordan,segments,المملكة الأردنية
Lebanon,segments,لبنان
Lebanon,segments,الجمهورية اللبنانية
Iraq,segments,العراق
Iraq,segments,جمهورية العراق
Gulf Cooperation Council,segments,مجلس التعاون الخليجي
Gulf Cooperation Council,segments,دول مجلس التعاون الخليجي
Middle East,segments,الشرق الأوسط
Middle East,segments,منطقة الشرق الأوسط
North Africa,segments,شمال أفريقيا
North Africa,segments,شمال إفريقيا
Europe,segments,أوروبا
Europe,segments,القارة الأوروبية
Asia,segments,آسيا
Asia,segments,القارة الآسيوية
in thousands,units,بالآلاف
in thousands,units,بالألف
in thousands,units,بآلاف
in millions,units,بالملايين
in millions,units,بالمليون
in millions,units,بملايين
in billions,units,بالمليارات
in billions,units,بالمليار
$ million,units,مليون دولار
$ million,units,بملايين الدولارات
SAR '000,units,ألف ريال سعودي
SAR '000,units,بآلاف الريالات السعودية
AED '000,units,ألف درهم إماراتي
AED '000,units,بآلاف الدراهم
Saudi Riyal,units,ريال سعودي
Saudi Riyal,units,الريال السعودي
UAE Dirham,units,درهم إماراتي
UAE Dirham,units,الدرهم الإماراتي
Kuwaiti Dinar,units,دينار كويتي
Kuwaiti Dinar,units,الدينار الكويتي
Qatari Riyal,units,ريال قطري
Qatari Riyal,units,الريال القطري
Egyptian Pound,units,جنيه مصري
Egyptian Pound,units,الجنيه المصري
US Dollar,units,دولار أمريكي
US Dollar,units,الدولار الأمريكي
Percentage,units,النسبة المئوية
Percentage,units,نسبة مئوية
Percentage,units,بالمئة
Currency,units,العملة
Currency,units,عملة
Bahraini Dinar,units,دينار بحريني
Bahraini Dinar,units,الدينار البحريني
Omani Rial,units,ريال عماني
Omani Rial,units,الريال العماني
Jordanian Dinar,units,دينار أردني
Jordanian Dinar,units,الدينار الأردني
Iraqi Dinar,units,دينار عراقي
Iraqi Dinar,units,الدينار العراقي
Lebanese Pound,units,ليرة لبنانية
Lebanese Pound,units,الليرة اللبنانية
Moroccan Dirham,units,درهم مغربي
Moroccan Dirham,units,الدرهم المغربي
Tunisian Dinar,units,دينار تونسي
Tunisian Dinar,units,الدينار التونسي
Algerian Dinar,units,دينار جزائري
Algerian Dinar,units,الدينار الجزائري
Libyan Dinar,units,دينار ليبي
Libyan Dinar,units,الدينار الليبي
Sudanese Pound,units,جنيه سوداني
Sudanese Pound,units,الجنيه السوداني
Syrian Pound,units,ليرة سورية
Syrian Pound,units,الليرة السورية
Yemeni Rial,units,ريال يمني
Yemeni Rial,units,الريال اليمني
Euro,units,يورو
Euro,units,اليورو
British Pound,units,جنيه إسترليني
British Pound,units,الجنيه الإسترليني
British Pound,units,الجنيه الاسترليني
Japanese Yen,units,ين ياباني
Japanese Yen,units,الين الياباني
Swiss Franc,units,فرنك سويسري
Swiss Franc,units,الفرنك السويسري
Chinese Yuan,units,يوان صيني
Chinese Yuan,units,اليوان الصيني
Thousand,units,ألف
Thousand,units,آلاف
Million,units,مليون
Million,units,ملايين
Billion,units,مليار
Billion,units,بليون
Billion,units,مليارات
Basis points,units,نقطة أساس
Basis points,units,نقاط الأساس
Net,common,صافي
Net,common,الصافي
Gross,common,إجمالي
Gross,common,الإجمالي
Total,common,مجموع
Total,common,إجمالي
Less,common,ناقصاً
Less,common,يخصم
Less,common,مطروحاً منه
Add,common,يضاف
Add,common,مضافاً إليه
of which,common,منها
of which,common,ومنها
of which,common,من ذلك
Increase,common,زيادة
Increase,common,الزيادة
Increase,common,ارتفاع
Decrease,common,نقص
Decrease,common,النقص
Decrease,common,انخفاض
Movement,common,الحركة
Movement,common,التغير في
Opening,common,الافتتاحي
Opening,common,أول المدة
Opening,common,بداية الفترة
Closing,common,الختامي
Closing,common,آخر المدة
Closing,common,نهاية الفترة
Beginning of the year,common,بداية السنة
Beginning of the year,common,أول السنة
End of the year,common,نهاية السنة
End of the year,common,آخر السنة
During the year,common,خلال السنة
During the year,common,أثناء السنة
Additions,common,الإضافات
Additions,common,إضافات
Disposals,common,الاستبعادات
Disposals,common,استبعادات
Disposals,common,المستبعد
Transfers,common,التحويلات
Transfers,common,المحول
Write-offs,common,المشطوب
Write-offs,common,الديون المشطوبة
Write-offs,common,شطب
Recoveries,common,المستردات
Recoveries,common,المبالغ المستردة
Fair value,common,القيمة العادلة
Carrying amount,common,القيمة الدفترية
Carrying amount,common,صافي القيمة الدفترية
Cost,common,التكلفة
Cost,common,الكلفة
Accumulated depreciation,common,مجمع الاستهلاك
Accumulated depreciation,common,الاستهلاك المتراكم
Provision,common,المخصص
Provision,common,مخصص
Not applicable,common,لا ينطبق
Not applicable,common,غير قابل للتطبيق
Not meaningful,common,غير ذي دلالة
Not meaningful,common,غير جوهري
Ratio,common,النسبة
Ratio,common,المعدل
Average,common,المتوسط
Average,common,متوسط
Rate,common,المعدل
Rate,common,السعر
Rate,common,النسبة
Yield,common,العائد
Yield,common,معدل العائد
Maturity,common,الاستحقاق
Maturity,common,تاريخ الاستحقاق
Current,common,المتداول
Current,common,الحالي
Current,common,الجاري
Non-current,common,غير المتداول
Non-current,common,غير الجاري
Fixed,common,الثابت
Fixed,common,ثابت
Fixed,common,ثابتة
Variable,common,المتغير
Variable,common,متغير
Variable,common,متغيرة
Foreign,common,الأجنبي
Foreign,common,أجنبي
Foreign,common,أجنبية
Local,common,المحلي
Local,common,محلي
Cumulative,common,التراكمي
Cumulative,common,المتراكم
Cumulative,common,تراكمي
Annual,common,السنوي
Annual,common,سنوي
Quarterly,common,الربع سنوي
Quarterly,common,ربع سنوي
Monthly,common,الشهري
Monthly,common,شهري
Semi-annual,common,نصف سنوي
Semi-annual,common,النصف سنوي
By segment,common,حسب القطاع
By segment,common,بحسب القطاع
By segment,common,وفقاً للقطاع
By geography,common,حسب المنطقة الجغرافية
By geography,common,بحسب الموقع الجغرافي
By geography,common,حسب الجغرافيا
By product,common,حسب المنتج
By product,common,بحسب المنتج
By currency,common,حسب العملة
By currency,common,بحسب العملة
Total for the year,common,الإجمالي للسنة
Total for the year,common,إجمالي السنة
Balance at end of year,common,الرصيد في نهاية السنة
Balance at end of year,common,الرصيد آخر السنة
Balance at beginning of year,common,الرصيد في بداية السنة
Balance at beginning of year,common,الرصيد أول السنة
Charge for the year,common,المحمل للسنة
Charge for the year,common,المكوّن خلال السنة
Charge for the year,common,عبء السنة
Utilised during the year,common,المستخدم خلال السنة
Utilised during the year,common,المستنفد خلال السنة
Reversed during the year,common,المسترد خلال السنة
Reversed during the year,common,المعكوس خلال السنة
Percentage of total,common,النسبة من الإجمالي
Percentage of total,common,نسبة إلى الإجمالي
Murabaha,islamic_finance,مرابحة
Murabaha,islamic_finance,المرابحة
Commodity Murabaha,islamic_finance,مرابحة السلع
Commodity Murabaha,islamic_finance,المرابحة في السلع
Commodity Murabaha,islamic_finance,المرابحة السلعية
Ijara,islamic_finance,إجارة
Ijara,islamic_finance,الإجارة
Ijara,islamic_finance,الإجارة المنتهية بالتمليك
Mudaraba,islamic_finance,مضاربة
Mudaraba,islamic_finance,المضاربة
Musharaka,islamic_finance,مشاركة
Musharaka,islamic_finance,المشاركة
Musharaka,islamic_finance,المشاركة المتناقصة
Istisna'a,islamic_finance,استصناع
Istisna'a,islamic_finance,الاستصناع
Salam,islamic_finance,سلم
Salam,islamic_finance,السلم
Salam,islamic_finance,بيع السلم
Sukuk,islamic_finance,صكوك
Sukuk,islamic_finance,الصكوك
Sukuk,islamic_finance,صكوك إسلامية
Wakala,islamic_finance,وكالة
Wakala,islamic_finance,الوكالة
Wakala,islamic_finance,الوكالة بالاستثمار
Tawarruq,islamic_finance,تورق
Tawarruq,islamic_finance,التورق
Qard Hasan,islamic_finance,قرض حسن
Qard Hasan,islamic_finance,القرض الحسن
Islamic financing and investing income,islamic_finance,إيرادات التمويل والاستثمار الإسلامي
Islamic financing and investing income,islamic_finance,دخل التمويل والاستثمار الإسلامي
Deferred profits,islamic_finance,الأرباح المؤجلة
Deferred profits,islamic_finance,أرباح مؤجلة
Deferred profits,islamic_finance,الربح المؤجل
Profit rate,islamic_finance,معدل الربح
Profit rate,islamic_finance,نسبة الربح
Unrestricted investment accounts,islamic_finance,حسابات الاستثمار المطلقة
Unrestricted investment accounts,islamic_finance,حسابات الاستثمار غير المقيدة
Restricted investment accounts,islamic_finance,حسابات الاستثمار المقيدة
Restricted investment accounts,islamic_finance,حسابات استثمار مقيدة
Equity of investment account holders,islamic_finance,حقوق أصحاب حسابات الاستثمار
Equity of investment account holders,islamic_finance,حقوق أصحاب حسابات الاستثمار المطلقة
Investment risk reserve,islamic_finance,احتياطي مخاطر الاستثمار
Investment risk reserve,islamic_finance,احتياطي مقابلة مخاطر الاستثمار
Profit equalisation reserve,islamic_finance,احتياطي معدل الأرباح
Profit equalisation reserve,islamic_finance,احتياطي مقابلة تقلبات الأرباح
Sharia supervisory board,islamic_finance,هيئة الرقابة الشرعية
Sharia supervisory board,islamic_finance,هيئة الفتوى والرقابة الشرعية
Zakat and charity fund,islamic_finance,صندوق الزكاة والخيرات
Zakat and charity fund,islamic_finance,صندوق الزكاة والأعمال الخيرية
Wakala deposits,islamic_finance,ودائع الوكالة
Wakala deposits,islamic_finance,ودائع وكالة
Gross written premiums,insurance_takaful,إجمالي الأقساط المكتتبة
Gross written premiums,insurance_takaful,إجمالي أقساط التأمين المكتتبة
Net earned premiums,insurance_takaful,صافي الأقساط المكتسبة
Net earned premiums,insurance_takaful,صافي أقساط التأمين المكتسبة
Reinsurance premiums,insurance_takaful,أقساط إعادة التأمين
Reinsurance premiums,insurance_takaful,أقساط معيدي التأمين
Claims incurred,insurance_takaful,المطالبات المتكبدة
Claims incurred,insurance_takaful,التعويضات المتكبدة
Claims paid,insurance_takaful,المطالبات المدفوعة
Claims paid,insurance_takaful,التعويضات المدفوعة
Reinsurance,insurance_takaful,إعادة التأمين
Reinsurance,insurance_takaful,اعادة التأمين
Retakaful,insurance_takaful,إعادة التكافل
Retakaful,insurance_takaful,اعادة التكافل
Takaful,insurance_takaful,التكافل
Takaful,insurance_takaful,التأمين التكافلي
Technical provisions,insurance_takaful,المخصصات الفنية
Technical provisions,insurance_takaful,الاحتياطيات الفنية
Unearned premium reserve,insurance_takaful,احتياطي الأقساط غير المكتسبة
Unearned premium reserve,insurance_takaful,مخصص الأقساط غير المكتسبة
Outstanding claims reserve,insurance_takaful,احتياطي المطالبات تحت التسوية
Outstanding claims reserve,insurance_takaful,احتياطي المطالبات القائمة
Outstanding claims reserve,insurance_takaful,مخصص المطالبات تحت التسوية
Policyholders,insurance_takaful,حملة الوثائق
Policyholders,insurance_takaful,حاملو وثائق التأمين
Policyholders,insurance_takaful,حملة وثائق التأمين
Underwriting surplus,insurance_takaful,فائض الاكتتاب
Underwriting surplus,insurance_takaful,الفائض الاكتتابي
Underwriting result,insurance_takaful,نتيجة الاكتتاب
Underwriting result,insurance_takaful,نتائج الاكتتاب
Commission income,insurance_takaful,إيرادات العمولات
Commission income,insurance_takaful,عمولات إعادة التأمين المكتسبة
Solvency margin,insurance_takaful,هامش الملاءة
Solvency margin,insurance_takaful,هامش الملاءة المالية
Policyholders' fund,insurance_takaful,صندوق حملة الوثائق
Policyholders' fund,insurance_takaful,أموال حملة الوثائق
Shareholders' fund,insurance_takaful,صندوق المساهمين
Shareholders' fund,insurance_takaful,أموال المساهمين
Current tax,tax_zakat,الضريبة الحالية
Current tax,tax_zakat,الضريبة المستحقة
Current tax,tax_zakat,ضريبة العام الحالي
Deferred tax,tax_zakat,الضريبة المؤجلة
Deferred tax,tax_zakat,ضريبة مؤجلة
Withholding tax,tax_zakat,ضريبة الاستقطاع
Withholding tax,tax_zakat,الضريبة المقتطعة
Withholding tax,tax_zakat,ضريبة الاستقطاع من المنبع
Value added tax,tax_zakat,ضريبة القيمة المضافة
Value added tax,tax_zakat,القيمة المضافة
